filename,prompt
macro_2025-07-04T07-41-08-898Z.json,"create a table with data for ten countries, population, GDP, area"
macro_2025-07-04T07-42-06-264Z.json,create a table with data on chemical elements
macro_2025-07-04T07-42-45-416Z.json,need data on the world's highest mountains
macro_2025-07-04T07-43-22-914Z.json,planet data of the solar system
macro_2025-07-04T07-44-51-272Z.json,"find planet data of the solar system, display their sizes in a pie chart"
macro_2025-07-04T07-45-55-472Z.json,need a bar chart showing masses of solar system planets
macro_2025-07-04T07-47-14-815Z.json,"need a line chart with masses and distance from sun for solar system planets, meaning need to show two data series. do not close the data table"
macro_2025-07-04T08-09-52-251Z.json,"on a pie chart show planet data of the solar system - mass, diameter, distance from sun - all at once"
macro_2025-07-04T08-13-30-069Z.json,"for planets give two bar charts - with mass and with diameter. you can remove the data table, and arrange the charts side by side, align them"
macro_2025-07-04T08-15-10-367Z.json,arrange existing windows three per row
macro_2025-07-04T08-22-47-623Z.json,"arrange existing windows neatly, two per row. if the last one remains alone on the line, align it by width with the entire row."
macro_2025-07-04T08-25-39-964Z.json,close all windows
macro_2025-07-04T08-30-09-004Z.json,"find data on largest countries, create charts - pie chart by population, line chart by GDP, bar chart by area. arrange them nicely, and hide the data table"
macro_2025-07-04T08-33-31-657Z.json,"show side by side charts - pie chart for top countries by population, bars for largest mountains in the world"
macro_2025-07-04T08-37-14-877Z.json,"need the following layout - two rows, two columns, total four windows. following content - 
[element data][chart with atomic weights]
[data on largest mountains][pie chart - with heights]"
macro_atoms_basic.json,"give atom data, several elements"
macro_close_all1.json,close all
macro_close_all2.json,close widgets
macro_close_all3.json,clear desktop
macro_close_all4.json,start from clean
macro_combined_countries_mountains1.json,"chart top countries by population (pie), heights of big mountains (bars), both charts side by side, in one row"
macro_combined_countries_mountains2.json,"create charts side by side - countries by population (pie), mountain heights (bars)"
macro_combined_countries_mountains3.json,"side by side charts - population data for countries, height data for mountains"
macro_combined_countries_mountains4.json,countries and mountains comparison charts
macro_combined_elements_mountains1.json,"give data on chemical elements - to the right of it a chart with their weights. below mountains on the same principle - table on the left, chart with height on the right"
macro_combined_elements_mountains2.json,data and chart with element masses. data and chart with heights of tall mountains
macro_combined_elements_mountains3.json,needed data and charts on periodic table and highest mountains in the world
macro_combined_elements_mountains4.json,"make windows 2 by 2 - in the first row chemical elements and their weights (chart), in the second row - high mountains and their heights (chart). let the chart types be different"
macro_countries_basic.json,country data
macro_countries_detailed.json,"data on largest countries - GDP, population, and more"
macro_countries_main.json,main country data
macro_countries_stats.json,give GDP population and area of large countries
macro_countries_top10.json,top 10 countries data
macro_countries_triple_charts1.json,"countries - pie chart by population, line chart by GDP, bar chart by area"
macro_countries_triple_charts2.json,"countries data with three chart types - population, GDP, area"
macro_countries_triple_charts3.json,"show countries with pie chart for population, line for GDP, bars for area"
macro_countries_triple_charts4.json,major countries data visualization with multiple chart types
