filename,prompt,prompt_v1,prompt_v2,prompt_v3
macro_2025-07-04T07-41-08-898Z.json,"create a table with data for ten countries, population, GDP, area","display information about ten nations including their population, GDP and territorial size","generate a data grid showing population, GDP and area for 10 major countries","build a table containing key metrics (population, GDP, area) for a set of ten countries"
macro_2025-07-04T07-42-06-264Z.json,create a table with data on chemical elements,"display a grid showing properties of chemical elements","generate an information table about elements from the periodic table","build a data view containing chemical element information"
macro_2025-07-04T07-42-45-416Z.json,need data on the world's highest mountains,"display information about the tallest mountains globally","show a table containing details of the world's highest peaks","create a data view of the most elevated mountains on Earth"
macro_2025-07-04T07-43-22-914Z.json,planet data of the solar system,"display information about planets in our solar system","show a table containing planetary data","create a comprehensive view of solar system planets"
macro_2025-07-04T07-44-51-272Z.json,"find planet data of the solar system, display their sizes in a pie chart","create a pie visualization showing the sizes of solar system planets","generate a circular chart displaying planetary size distribution","build a pie diagram illustrating relative sizes of planets"
macro_2025-07-04T07-45-55-472Z.json,need a bar chart showing masses of solar system planets,"create a bar visualization comparing planetary masses","generate a column chart displaying mass of each planet","build a bar graph showing how planets compare by mass"
macro_2025-07-04T07-47-14-815Z.json,"need a line chart with masses and distance from sun for solar system planets, meaning need to show two data series. do not close the data table","create a dual-series line graph showing planetary masses and solar distances while keeping the data visible","display a line visualization with two metrics - mass and solar distance - alongside the data grid","generate a trend chart comparing planet masses and distances, maintaining the data table"
macro_2025-07-04T08-09-52-251Z.json,"on a pie chart show planet data of the solar system - mass, diameter, distance from sun - all at once","create a multi-metric pie visualization showing mass, size and solar distance of planets","generate a comprehensive circular chart displaying three planetary characteristics","build a pie diagram combining mass, diameter and orbital distance data"
macro_2025-07-04T08-13-30-069Z.json,"for planets give two bar charts - with mass and with diameter. you can remove the data table, and arrange the charts side by side, align them","create two adjacent bar visualizations comparing planetary mass and size, without data grid","display side-by-side column charts showing mass and diameter comparisons","generate two aligned bar graphs - one for mass, one for size - in a horizontal layout"
macro_2025-07-04T08-15-10-367Z.json,arrange existing windows three per row,"organize the current views in groups of three per row","align all windows with three items in each row","position existing elements three across"
macro_2025-07-04T08-22-47-623Z.json,"arrange existing windows neatly, two per row. if the last one remains alone on the line, align it by width with the entire row.","organize views in pairs, with the final single view spanning the full width if needed","position windows two per row, stretching the last one if it's alone","create a layout with two items per row, extending the final unpaired item"
macro_2025-07-04T08-25-39-964Z.json,close all windows,"remove all current views from the workspace","clear all open windows","dismiss all visible elements"
